checkpoint,dataset_name,subset_name,test_size,time,prompt_name,accuracy
google/flan-t5-xl,super_glue,rte,200,3.007063865661621,MNLI crowdsource,0.86
google/flan-t5-xl,super_glue,rte,200,39.83055400848389,guaranteed true,0.6
google/flan-t5-xl,super_glue,rte,200,5.648159027099609,can we infer,0.825
google/flan-t5-xl,super_glue,rte,200,28.559499263763428,GPT-3 style,0.42
google/flan-t5-xl,super_glue,rte,200,6.1655497550964355,does this imply,0.825
google/flan-t5-xl,super_glue,rte,200,39.854592084884644,should assume,0.69
google/flan-t5-xl,super_glue,rte,200,39.78431439399719,does it follow that,0.56
google/flan-t5-xl,super_glue,rte,200,40.25653958320618,based on the previous passage,0.695
google/flan-t5-xl,super_glue,rte,200,40.11252522468567,justified in saying,0.655
google/flan-t5-xl,super_glue,rte,200,40.18770217895508,must be true,0.685
google/flan-t5-xl,super_glue,cb,56,2.467055320739746,can we infer,0.7678571428571429
google/flan-t5-xl,super_glue,cb,56,8.021001100540161,based on the previous passage,0.8035714285714286
google/flan-t5-xl,super_glue,cb,56,12.54657769203186,claim true/false/inconclusive,0.42857142857142855
google/flan-t5-xl,super_glue,cb,56,12.687225818634033,does it follow that,0.75
google/flan-t5-xl,super_glue,cb,56,12.739640951156616,justified in saying,0.75
google/flan-t5-xl,super_glue,cb,56,2.1647820472717285,always/sometimes/never,0.05357142857142857
google/flan-t5-xl,super_glue,cb,56,1.207789421081543,GPT-3 style,0.875
google/flan-t5-xl,super_glue,cb,56,2.595398187637329,consider always/sometimes/never,0.30357142857142855
google/flan-t5-xl,super_glue,cb,56,8.70856499671936,guaranteed true,0.6428571428571429
google/flan-t5-xl,super_glue,cb,56,9.138155698776245,must be true,0.6428571428571429
google/flan-t5-xl,super_glue,cb,56,6.655118227005005,guaranteed/possible/impossible,0.21428571428571427
google/flan-t5-xl,super_glue,cb,56,1.9798238277435303,does this imply,0.7857142857142857
google/flan-t5-xl,super_glue,cb,56,1.7724957466125488,MNLI crowdsource,0.32142857142857145
google/flan-t5-xl,super_glue,cb,56,12.834747314453125,should assume,0.8035714285714286
google/flan-t5-xl,super_glue,cb,56,2.8901939392089844,take the following as truth,0.6071428571428571
